fl_iter,main_task_acc,backdoor_acc,raw_task_acc,adv_norm_diff,wg_norm
0,88.0,11.0,0.0,0.0,0.0
1,10.0,100.0,0.0,2219.65185546875,9.961053848266602
2,63.9675,56.0,89.325,0.0,19.229028701782227
3,64.2425,35.0,80.4,0.0,22.230493545532227
4,73.74,18.0,89.825,0.0,24.078357696533203
5,82.765,17.0,96.775,0.0,26.2077693939209
6,90.6725,24.0,94.975,0.0,27.245744705200195
7,92.8625,12.0,96.1,0.0,27.97298240661621
8,94.4725,14.0,93.975,0.0,28.513761520385742
9,91.7525,9.0,97.15,0.0,28.929609298706055
10,95.5225,5.0,96.975,0.0,29.21672248840332
11,87.2275,98.0,93.825,1205.33984375,29.53187370300293
12,94.4825,56.0,94.75,0.0,30.07843017578125
